[1, 0, 0, 0, 9, 9, 7, 3, 56, 1, 0, 5, 75, 19, 4, 5, 186, 9, 0, 3, 12, 1, 0, 30, 45, 5, 0, 18, 124, 15, 0, 5, 0, 0, 0, 1, 17, 4, 0, 0, 79, 7, 0, 9, 143, 10, 1, 2, 186, 13, 0, 1, 18, 3, 0, 24, 55, 0, 0, 0, 132, 47, 3, 8, 0, 0, 0, 3, 3, 0, 0, 0, 72, 4, 3, 23, 56, 2, 2, 20, 186, 8, 0, 0, 9, 3, 1, 52, 68, 2, 0, 0, 44, 58, 29, 10, 0, 0, 0, 0, 0, 0, 0, 0, 99, 31, 5, 2, 0, 0, 0, 8, 186, 14, 0, 0, 0, 0, 1, 64, 50, 0, 0, 0, 0, 11, 34, 39;
  0, 0, 0, 1, 9, 5, 4, 1, 103, 6, 1, 2, 11, 4, 1, 14, 150, 2, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 3, 0, 161, 11, 0, 0, 17, 13, 1, 5, 215, 18, 0, 0, 0, 0, 0, 35, 21, 0, 0, 0, 0, 0, 0, 5, 2, 0, 0, 1, 4, 3, 1, 1, 135, 6, 0, 0, 13, 9, 1, 8, 215, 24, 0, 0, 0, 0, 0, 15, 96, 2, 0, 0, 0, 0, 0, 7, 2, 0, 0, 0, 2, 3, 3, 1, 87, 8, 0, 0, 10, 4, 0, 1, 215, 35, 0, 0, 0, 0, 0, 1, 144, 7, 0, 0, 0, 0, 0, 1;
  8, 0, 0, 1, 2, 3, 15, 93, 88, 15, 0, 0, 0, 0, 6, 103, 107, 40, 0, 0, 0, 0, 0, 4, 7, 3, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 20, 80, 140, 83, 41, 1, 0, 9, 95, 68, 94, 140, 98, 0, 0, 1, 4, 6, 44, 46, 6, 0, 1, 2, 3, 1, 6, 1, 0, 0, 0, 0, 34, 123, 140, 14, 1, 0, 0, 3, 140, 140, 72, 139, 3, 1, 0, 0, 11, 62, 140, 26, 1, 2, 8, 2, 0, 0, 11, 4, 1, 1, 0, 0, 4, 14, 48, 0, 1, 3, 0, 0, 25, 45, 9, 5, 2, 1, 0, 0, 2, 24, 27, 2, 1, 1, 1, 0, 0, 0, 3;
  43, 36, 1, 0, 0, 0, 0, 1, 35, 124, 103, 1, 0, 1, 11, 9, 56, 133, 68, 0, 0, 0, 9, 17, 25, 41, 2, 2, 3, 1, 0, 2, 115, 37, 0, 0, 2, 2, 3, 11, 133, 48, 6, 1, 0, 1, 62, 87, 92, 32, 3, 0, 0, 0, 113, 133, 42, 11, 1, 1, 0, 0, 3, 38, 35, 10, 0, 0, 4, 8, 81, 117, 133, 26, 0, 0, 0, 0, 27, 131, 127, 13, 1, 1, 0, 0, 22, 45, 1, 1, 2, 9, 2, 0, 2, 8, 8, 20, 25, 1, 0, 2, 47, 57, 133, 34, 8, 0, 0, 0, 11, 47, 93, 16, 4, 1, 0, 0, 0, 4, 0, 2, 7, 7, 2, 0, 0, 0;
  30, 102, 125, 4, 1, 0, 0, 7, 49, 126, 126, 0, 0, 0, 0, 3, 7, 126, 97, 1, 0, 0, 0, 0, 0, 35, 52, 7, 1, 0, 0, 0, 35, 37, 59, 1, 0, 2, 10, 6, 126, 91, 29, 3, 1, 0, 1, 16, 42, 92, 123, 36, 13, 0, 0, 2, 1, 126, 126, 6, 1, 0, 0, 0, 16, 1, 0, 0, 1, 29, 126, 29, 126, 12, 16, 21, 3, 4, 42, 77, 19, 10, 45, 88, 24, 0, 0, 1, 18, 74, 31, 13, 4, 0, 0, 0, 0, 0, 7, 18, 12, 18, 49, 3, 3, 1, 18, 72, 46, 7, 17, 10, 1, 18, 67, 42, 6, 0, 0, 1, 47, 29, 16, 1, 0, 0, 0, 11;
  78, 1, 0, 4, 23, 7, 1, 23, 162, 6, 0, 3, 13, 2, 0, 33, 72, 6, 0, 16, 109, 29, 0, 5, 7, 0, 0, 3, 40, 134, 10, 4, 69, 10, 3, 25, 26, 2, 0, 16, 162, 10, 1, 9, 19, 2, 1, 43, 61, 2, 3, 43, 141, 4, 1, 15, 0, 5, 18, 19, 30, 36, 1, 0, 47, 3, 1, 15, 43, 9, 4, 7, 162, 16, 1, 10, 24, 1, 0, 21, 56, 7, 4, 62, 162, 5, 0, 3, 1, 8, 27, 19, 18, 2, 0, 0, 45, 2, 0, 3, 73, 9, 1, 3, 162, 3, 0, 1, 24, 3, 0, 36, 31, 1, 0, 5, 143, 37, 3, 7, 0, 2, 3, 3, 17, 25, 13, 0;
  0, 1, 3, 1, 0, 24, 84, 1, 26, 4, 3, 1, 0, 9, 101, 62, 129, 2, 0, 0, 0, 0, 9, 117, 55, 0, 0, 1, 17, 5, 0, 11, 0, 2, 13, 5, 2, 54, 99, 1, 44, 41, 22, 1, 0, 30, 73, 23, 129, 34, 1, 0, 0, 1, 8, 55, 53, 3, 0, 5, 21, 2, 1, 8, 0, 29, 66, 1, 0, 66, 125, 1, 12, 20, 40, 0, 0, 83, 129, 40, 107, 28, 6, 1, 1, 4, 52, 129, 17, 3, 1, 5, 37, 6, 3, 21, 0, 56, 129, 0, 0, 1, 0, 0, 7, 100, 129, 0, 0, 2, 7, 4, 81, 129, 27, 1, 1, 0, 3, 12, 17, 14, 2, 5, 27, 2, 0, 1;
  0, 0, 11, 4, 0, 1, 22, 14, 2, 7, 30, 9, 0, 1, 23, 11, 2, 15, 23, 16, 5, 3, 27, 11, 0, 1, 45, 67, 6, 2, 7, 3, 0, 12, 135, 33, 0, 0, 1, 1, 5, 31, 135, 100, 1, 0, 0, 0, 44, 135, 119, 42, 24, 0, 0, 1, 3, 7, 31, 134, 116, 1, 0, 0, 39, 89, 135, 10, 1, 1, 0, 0, 55, 33, 57, 56, 31, 1, 0, 3, 135, 42, 13, 7, 33, 4, 0, 22, 17, 3, 0, 8, 135, 17, 0, 3, 91, 18, 0, 0, 4, 2, 0, 2, 79, 10, 0, 1, 15, 8, 1, 6, 135, 8, 0, 3, 25, 3, 1, 14, 15, 2, 0, 8, 135, 6, 0, 1;
  1, 72, 20, 1, 0, 0, 2, 1, 1, 11, 31, 28, 0, 0, 2, 5, 4, 40, 34, 5, 0, 1, 6, 2, 3, 5, 0, 0, 0, 1, 11, 2, 41, 129, 38, 8, 0, 0, 0, 0, 15, 67, 69, 129, 39, 1, 0, 1, 129, 129, 62, 32, 6, 0, 0, 4, 43, 23, 5, 1, 0, 0, 2, 1, 129, 74, 3, 3, 1, 0, 0, 46, 60, 31, 8, 44, 75, 36, 20, 33, 129, 23, 13, 17, 12, 9, 14, 105, 46, 10, 86, 84, 0, 0, 0, 4, 50, 42, 60, 4, 0, 0, 0, 42, 27, 124, 43, 3, 2, 12, 14, 25, 25, 19, 52, 129, 0, 2, 9, 48, 2, 1, 100, 129, 0, 0, 0, 1;
  7, 119, 90, 0, 0, 1, 0, 0, 22, 119, 44, 32, 14, 0, 0, 0, 29, 43, 43, 97, 54, 4, 1, 3, 101, 71, 12, 3, 0, 0, 0, 4, 50, 37, 7, 0, 0, 2, 1, 30, 119, 93, 6, 6, 11, 5, 0, 25, 54, 18, 4, 14, 49, 43, 30, 50, 112, 12, 16, 52, 1, 1, 6, 54, 36, 6, 11, 3, 2, 8, 18, 68, 72, 59, 112, 15, 0, 1, 0, 32, 19, 119, 95, 10, 0, 5, 10, 19, 10, 18, 45, 119, 13, 0, 2, 15, 2, 3, 13, 11, 48, 118, 32, 3, 2, 20, 75, 31, 9, 29, 45, 2, 3, 111, 82, 9, 0, 2, 40, 10, 0, 11, 56, 95, 9, 11, 26, 2;
