[593, 59]
[314, 60]
[432, 60]
[461, 60]
[463, 60]
[486, 60]
[501, 60]
[518, 60]
[533, 60]
[289, 61]
[367, 61]
[369, 61]
[371, 61]
[373, 61]
[457, 61]
[459, 61]
[507, 61]
[513, 61]
[573, 61]
[436, 62]
[442, 62]
[474, 62]
[478, 62]
[480, 62]
[482, 62]
[484, 62]
[486, 62]
[528, 62]
[450, 63]
[499, 63]
[502, 63]
[519, 63]
[522, 63]
[230, 64]
[441, 64]
[464, 64]
[470, 64]
[484, 64]
[486, 64]
[488, 64]
[494, 64]
[509, 64]
[429, 65]
[461, 65]
[479, 65]
[481, 65]
[367, 66]
[432, 66]
[455, 66]
[476, 66]
[514, 66]
[315, 67]
[437, 67]
[467, 67]
[489, 67]
[496, 67]
[245, 68]
[444, 68]
[452, 68]
[454, 68]
[460, 68]
[462, 68]
[484, 68]
[486, 68]
[502, 68]
[534, 68]
[523, 69]
[529, 69]
[316, 70]
[367, 70]
[426, 70]
[430, 70]
[440, 70]
[448, 70]
[468, 70]
[470, 70]
[472, 70]
[500, 70]
[502, 70]
[11, 71]
[505, 71]
[537, 71]
[401, 72]
[432, 72]
[459, 72]
[522, 72]
[528, 72]
[19, 73]
[367, 73]
[455, 73]
[457, 73]
[473, 73]
[571, 73]
[420, 74]
[429, 74]
[443, 74]
[459, 74]
[461, 74]
[476, 74]
[502, 74]
[529, 74]
[273, 75]
[288, 75]
[496, 75]
[277, 76]
[467, 76]
[486, 76]
[488, 76]
[502, 76]
[504, 76]
[355, 77]
[367, 77]
[8, 78]
[474, 78]
[494, 78]
[536, 78]
[17, 79]
[331, 79]
[20, 80]
[24, 80]
[384, 80]
[494, 80]
[247, 81]
[441, 81]
[455, 81]
[479, 81]
[468, 82]
[476, 82]
[496, 82]
[213, 83]
[471, 83]
[372, 84]
[529, 84]
[532, 84]
[297, 85]
[302, 85]
[314, 85]
[453, 85]
[461, 85]
[490, 85]
[495, 85]
[537, 85]
[464, 86]
[480, 86]
[487, 86]
[530, 86]
[461, 87]
[483, 87]
[86, 88]
[88, 88]
[324, 88]
[326, 88]
[454, 88]
[470, 88]
[472, 88]
[493, 88]
[496, 88]
[498, 88]
[524, 88]
[475, 89]
[533, 89]
[565, 89]
[462, 90]
[478, 90]
[498, 90]
[466, 91]
[495, 91]
[561, 91]
[314, 92]
[484, 92]
[498, 92]
[558, 93]
[487, 94]
[524, 94]
[494, 96]
[498, 96]
[271, 97]
[250, 98]
[406, 98]
[493, 99]
[561, 99]
[250, 100]
[271, 100]
[498, 100]
[527, 100]
[532, 100]
[315, 101]
[206, 102]
[250, 102]
[446, 102]
[449, 102]
[535, 102]
[556, 102]
[559, 102]
[406, 104]
[444, 104]
[498, 104]
[83, 105]
[493, 105]
[511, 105]
[527, 105]
[532, 105]
[232, 106]
[300, 106]
[498, 106]
[500, 106]
[552, 106]
[521, 107]
[521, 109]
[255, 110]
[260, 110]
[225, 111]
[507, 111]
[511, 111]
[222, 112]
[521, 112]
[507, 113]
[278, 114]
[500, 114]
[507, 115]
[475, 116]
[500, 116]
[527, 116]
[530, 116]
[532, 116]
[574, 116]
[576, 116]
[578, 116]
[600, 116]
[602, 116]
[604, 116]
[606, 116]
[487, 118]
[500, 118]
[520, 118]
[534, 118]
[575, 118]
[578, 118]
[580, 118]
[497, 119]
[573, 119]
[314, 120]
[490, 120]
[500, 120]
[530, 120]
[550, 120]
[582, 120]
[493, 121]
[519, 121]
[527, 121]
[577, 121]
[500, 122]
[502, 122]
[514, 122]
[594, 122]
[493, 123]
[497, 123]
[532, 123]
[502, 124]
[512, 124]
[530, 124]
[536, 124]
[611, 124]
[327, 125]
[581, 125]
[609, 125]
[486, 126]
[502, 126]
[526, 127]
[529, 127]
[537, 127]
[280, 128]
[502, 128]
[516, 128]
[534, 128]
[594, 128]
[606, 128]
[537, 129]
[527, 130]
[604, 130]
[517, 131]
[410, 132]
[507, 132]
[612, 132]
[499, 133]
[338, 134]
[28, 136]
[338, 136]
[398, 136]
[517, 136]
[575, 136]
[599, 136]
[609, 136]
[499, 137]
